"device_id","count"
"201003",1089
"211423",3733
"211425",928
"211436",489
"237508",6894
"240557",510
"241927",1163
"241928",750
"241929",306
"242719",424
"242720",351
"242721",562
"242722",301
"242723",1297
"242724",260
"242725",1023
"242726",588
"242728",835
"242729",449
"242730",1297
"242731",1052
"242732",789
"242735",27
"242736",451
"242737",1738
"242739",394
"242740",492
"242741",1250
"242742",666
"242743",579
"242744",612
"242745",306
"242746",1476
"242747",388
"242749",238
"242751",495
"242752",1751
"242753",1027
"373486",2124
"373487",488
"373488",4593
"373489",291
"373490",318
"373491",2981
"373492",1881
"373492a",1723
"373493",1054
"373493j",298
"373494",3054
"373495",1083
"HQC6259 Button",183
"HQC6261 Toad",248
"HQC6262 Shitake",63
